,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,audio_features,62vpWI1CHwFy7tMIcSStl8,spotify:track:62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,292987,4
1,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,audio_features,7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,182707,4
2,56uXDJRCuoS7abX3SkzHKQ,Myron,Lil Uzi Vert,0.771,0.654,8,-6.976,0,0.298,0.055,0.0,0.214,0.573,155.047,audio_features,56uXDJRCuoS7abX3SkzHKQ,spotify:track:56uXDJRCuoS7abX3SkzHKQ,https://api.spotify.com/v1/tracks/56uXDJRCuoS7abX3SkzHKQ,https://api.spotify.com/v1/audio-analysis/56uXDJRCuoS7abX3SkzHKQ,224955,4
3,3kW4z2pIj5VY5fLjBrMRL5,P2,Lil Uzi Vert,0.775,0.72,11,-5.353,0,0.193,0.0236,0.0,0.114,0.49,155.086,audio_features,3kW4z2pIj5VY5fLjBrMRL5,spotify:track:3kW4z2pIj5VY5fLjBrMRL5,https://api.spotify.com/v1/tracks/3kW4z2pIj5VY5fLjBrMRL5,https://api.spotify.com/v1/audio-analysis/3kW4z2pIj5VY5fLjBrMRL5,234627,4
4,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,J. Cole,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,213594,4
5,2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,audio_features,2t8yVaLvJ0RenpXUIAC52d,spotify:track:2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,288624,4
6,3yQFmN8A5S8Kf1nUJuvb01,Crimewave,Crystal Castles,0.746,0.691,4,-7.533,0,0.0403,0.184,0.0259,0.205,0.888,119.982,audio_features,3yQFmN8A5S8Kf1nUJuvb01,spotify:track:3yQFmN8A5S8Kf1nUJuvb01,https://api.spotify.com/v1/tracks/3yQFmN8A5S8Kf1nUJuvb01,https://api.spotify.com/v1/audio-analysis/3yQFmN8A5S8Kf1nUJuvb01,258453,4
7,0exOxvY3iHsmAnGHiJYAZq,Vanished,Crystal Castles,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.23e-05,0.225,0.641,119.98,audio_features,0exOxvY3iHsmAnGHiJYAZq,spotify:track:0exOxvY3iHsmAnGHiJYAZq,https://api.spotify.com/v1/tracks/0exOxvY3iHsmAnGHiJYAZq,https://api.spotify.com/v1/audio-analysis/0exOxvY3iHsmAnGHiJYAZq,242960,4
8,49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,Modjo,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,audio_features,49X0LAl6faAusYq02PRAY6,spotify:track:49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/tracks/49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/audio-analysis/49X0LAl6faAusYq02PRAY6,307154,4
9,0tZkVZ9DeAa0MNK2gY5NtV,Baby I'm Yours,Breakbot,0.829,0.792,2,-3.755,0,0.0668,0.726,5.83e-06,0.122,0.758,118.05,audio_features,0tZkVZ9DeAa0MNK2gY5NtV,spotify:track:0tZkVZ9DeAa0MNK2gY5NtV,https://api.spotify.com/v1/tracks/0tZkVZ9DeAa0MNK2gY5NtV,https://api.spotify.com/v1/audio-analysis/0tZkVZ9DeAa0MNK2gY5NtV,215507,4
